0.000,0.927,0.001
0.002,0.925,0.001
0.007,0.920,0.001
0.015,0.912,0.002
0.026,0.900,0.002
0.040,0.885,0.003
0.056,0.868,0.004
0.075,0.848,0.005
0.095,0.825,0.008
0.118,0.800,0.010
0.142,0.772,0.014
0.167,0.743,0.018
0.192,0.712,0.023
0.218,0.680,0.030
0.244,0.646,0.037
0.269,0.612,0.046
0.294,0.577,0.057
0.317,0.541,0.069
0.339,0.506,0.082
0.359,0.470,0.098
0.377,0.435,0.115
0.392,0.401,0.134
0.405,0.367,0.154
0.415,0.335,0.177
0.421,0.304,0.201
0.425,0.274,0.227
0.426,0.245,0.255
0.423,0.218,0.284
0.418,0.193,0.315
0.409,0.170,0.346
0.397,0.148,0.380
0.383,0.128,0.414
0.366,0.110,0.448
0.347,0.094,0.483
0.326,0.079,0.519
0.303,0.066,0.554
0.279,0.055,0.590
0.254,0.045,0.624
0.229,0.037,0.658
0.203,0.030,0.691
0.177,0.024,0.723
0.152,0.019,0.753
0.127,0.015,0.781
0.104,0.011,0.808
0.083,0.009,0.832
0.063,0.007,0.853
0.046,0.005,0.872
0.031,0.004,0.888
0.019,0.003,0.901
0.010,0.002,0.911
0.003,0.002,0.918
0.000,0.002,0.921
0.000,0.002,0.922
0.003,0.002,0.919
0.009,0.002,0.912
0.018,0.002,0.903
0.030,0.003,0.890
0.045,0.004,0.875
0.062,0.005,0.857
0.081,0.006,0.836
0.102,0.009,0.812
0.125,0.012,0.786
0.149,0.015,0.758
0.174,0.020,0.729
0.200,0.026,0.698
0.225,0.033,0.665
0.251,0.041,0.631
0.275,0.050,0.597
0.299,0.061,0.562
0.322,0.074,0.527
0.343,0.088,0.491
0.362,0.104,0.456
0.378,0.122,0.422
0.393,0.141,0.388
0.404,0.162,0.355
0.413,0.186,0.323
0.418,0.210,0.292
0.421,0.237,0.263
0.420,0.265,0.236
0.417,0.294,0.209
0.410,0.325,0.185
0.401,0.358,0.162
0.388,0.391,0.141
0.373,0.425,0.122
0.356,0.459,0.105
0.336,0.495,0.089
0.314,0.530,0.075
0.291,0.565,0.063
0.267,0.600,0.052
0.242,0.634,0.043
0.217,0.668,0.035
0.191,0.700,0.028
0.166,0.731,0.022
0.141,0.760,0.018
0.118,0.787,0.014
0.095,0.813,0.011
0.075,0.836,0.008
0.056,0.856,0.006
0.040,0.874,0.005
0.026,0.888,0.004
0.015,0.900,0.003
0.007,0.909,0.003
0.002,0.915,0.002
0.000,0.917,0.002
0.001,0.916,0.002
0.005,0.912,0.002
0.012,0.905,0.002
0.022,0.894,0.002
0.035,0.881,0.003
0.050,0.864,0.004
0.068,0.845,0.006
0.088,0.823,0.008
0.109,0.799,0.010
0.132,0.773,0.013
0.156,0.745,0.018
0.181,0.714,0.023
0.207,0.683,0.029
0.232,0.650,0.036
0.257,0.616,0.045
0.281,0.582,0.055
0.304,0.547,0.066
0.326,0.512,0.079
0.346,0.477,0.094
0.364,0.443,0.111
0.380,0.409,0.129
0.393,0.375,0.149
0.403,0.343,0.171
0.411,0.312,0.195
0.415,0.282,0.220
0.417,0.253,0.247
0.415,0.226,0.275
0.410,0.201,0.305
0.403,0.177,0.336
0.392,0.155,0.369
0.379,0.135,0.402
0.363,0.116,0.436
0.345,0.100,0.471
0.325,0.085,0.506
0.303,0.071,0.541
0.280,0.060,0.575
0.255,0.049,0.610
0.230,0.041,0.644
0.205,0.033,0.676
0.180,0.027,0.708
0.155,0.021,0.738
0.131,0.017,0.766
0.108,0.013,0.793
0.087,0.010,0.817
0.067,0.008,0.839
0.049,0.006,0.858
0.034,0.005,0.875
0.022,0.004,0.888
0.012,0.003,0.899
0.005,0.003,0.907
0.001,0.002,0.911
0.000,0.002,0.912
0.002,0.002,0.910
0.007,0.002,0.905
0.015,0.002,0.896
0.026,0.003,0.885
0.040,0.004,0.871
0.056,0.005,0.853
0.074,0.007,0.833
0.094,0.009,0.811
0.116,0.012,0.786
0.139,0.015,0.759
0.164,0.020,0.730
0.188,0.025,0.700
0.213,0.032,0.668
0.238,0.040,0.635
0.263,0.049,0.602
0.287,0.059,0.567
0.309,0.071,0.533
0.330,0.085,0.498
0.349,0.101,0.463
0.366,0.118,0.429
0.380,0.137,0.396
0.392,0.157,0.363
0.402,0.180,0.331
0.408,0.204,0.300
0.411,0.229,0.271
0.412,0.257,0.243
0.409,0.286,0.217
0.403,0.316,0.192
0.395,0.347,0.169
0.383,0.380,0.148
0.369,0.413,0.129
0.353,0.447,0.111
0.334,0.482,0.095
0.313,0.516,0.081
0.291,0.551,0.068
0.268,0.586,0.057
0.244,0.620,0.047
0.219,0.653,0.038
0.194,0.685,0.031
0.169,0.716,0.025
0.145,0.745,0.020
0.121,0.772,0.016
0.099,0.798,0.013
0.078,0.821,0.010
0.060,0.842,0.008
0.043,0.860,0.006
0.029,0.876,0.005
0.018,0.888,0.004
0.009,0.897,0.003
0.003,0.904,0.003
0.000,0.907,0.002
0.000,0.907,0.002
0.003,0.904,0.002
0.010,0.897,0.002
0.019,0.888,0.003
0.030,0.876,0.004
0.045,0.860,0.004
0.061,0.842,0.006
0.080,0.821,0.008
0.101,0.798,0.010
0.123,0.773,0.013
0.146,0.746,0.017
0.171,0.716,0.022
0.195,0.686,0.028
0.220,0.654,0.035
0.245,0.621,0.043
0.269,0.587,0.053
0.292,0.553,0.064
0.313,0.518,0.077
0.333,0.484,0.091
0.351,0.450,0.107
0.367,0.416,0.125
0.381,0.383,0.144
0.392,0.351,0.165
0.400,0.319,0.188
0.405,0.289,0.213
0.407,0.261,0.239
0.407,0.234,0.267
0.403,0.208,0.296
0.396,0.184,0.326
0.386,0.162,0.358
0.374,0.141,0.391
0.359,0.123,0.424
0.342,0.106,0.458
0.323,0.090,0.493
0.302,0.077,0.527
0.280,0.064,0.562
0.256,0.054,0.596
0.232,0.044,0.629
0.207,0.036,0.662
0.183,0.030,0.693
0.158,0.024,0.723
0.134,0.019,0.752
0.112,0.015,0.778
0.090,0.012,0.803
0.071,0.010,0.825
0.053,0.008,0.845
0.037,0.006,0.862
0.024,0.005,0.876
0.014,0.004,0.887
0.006,0.003,0.895
0.001,0.003,0.901
0.000,0.003,0.903
0.001,0.002,0.901
0.005,0.003,0.897
0.012,0.003,0.890
0.022,0.003,0.879
0.035,0.004,0.866
0.050,0.005,0.850
0.067,0.007,0.831
0.087,0.009,0.809
0.108,0.012,0.786
0.130,0.015,0.760
0.153,0.019,0.732
0.178,0.025,0.702
0.202,0.031,0.671
0.227,0.038,0.639
0.251,0.047,0.606
0.274,0.057,0.573
0.296,0.069,0.539
0.317,0.082,0.504
0.336,0.097,0.470
0.354,0.114,0.436
0.369,0.132,0.403
0.381,0.152,0.370
0.391,0.174,0.339
0.398,0.197,0.308
0.402,0.222,0.279
0.403,0.249,0.251
0.401,0.277,0.225
0.396,0.306,0.200
0.389,0.337,0.176
0.378,0.369,0.155
0.365,0.402,0.135
0.349,0.435,0.117
0.332,0.469,0.101
0.312,0.503,0.086
0.291,0.538,0.073
0.268,0.572,0.061
0.245,0.605,0.051
0.221,0.638,0.042
0.196,0.670,0.034
0.172,0.701,0.028
0.148,0.730,0.023
0.125,0.758,0.018
0.103,0.783,0.015
0.082,0.807,0.012
0.063,0.828,0.009
0.046,0.847,0.007
0.032,0.863,0.006
0.020,0.876,0.005
0.011,0.886,0.004
0.004,0.893,0.003
0.000,0.897,0.003
0.000,0.898,0.003
0.002,0.896,0.003
0.007,0.890,0.003
0.015,0.882,0.003
0.026,0.870,0.004
0.040,0.856,0.005
0.055,0.839,0.006
0.073,0.819,0.008
0.093,0.797,0.010
0.114,0.773,0.013
0.137,0.746,0.017
0.160,0.718,0.022
0.184,0.688,0.027
0.209,0.657,0.034
0.233,0.625,0.042
0.256,0.592,0.051
0.279,0.558,0.062
0.301,0.525,0.074
0.321,0.490,0.088
0.339,0.457,0.104
0.355,0.423,0.121
0.369,0.390,0.139
0.381,0.358,0.160
0.389,0.327,0.182
0.395,0.297,0.206
0.398,0.269,0.232
0.398,0.241,0.259
0.395,0.216,0.287
0.389,0.191,0.317
0.381,0.169,0.348
0.369,0.148,0.380
0.356,0.129,0.413
0.340,0.112,0.446
0.321,0.096,0.480
0.301,0.082,0.514
0.280,0.069,0.548
0.257,0.058,0.582
0.233,0.048,0.615
0.209,0.040,0.647
0.185,0.033,0.678
0.161,0.027,0.708
0.138,0.022,0.737
0.115,0.017,0.764
0.094,0.014,0.788
0.074,0.011,0.811
0.056,0.009,0.831
0.040,0.007,0.848
0.027,0.006,0.863
0.016,0.005,0.875
0.008,0.004,0.884
0.002,0.004,0.890
0.000,0.003,0.893
0.000,0.003,0.893
0.004,0.003,0.889
0.010,0.003,0.883
0.019,0.004,0.873
0.030,0.004,0.861
0.045,0.006,0.846
0.061,0.007,0.828
0.079,0.009,0.808
0.099,0.012,0.785
0.121,0.015,0.760
0.144,0.019,0.733
0.167,0.024,0.704
0.191,0.030,0.674
0.215,0.037,0.643
0.239,0.046,0.611
0.262,0.056,0.578
0.284,0.067,0.544
0.305,0.080,0.511
0.324,0.094,0.477
0.341,0.110,0.443
0.357,0.128,0.410
0.370,0.147,0.378
0.380,0.168,0.346
0.387,0.191,0.316
0.392,0.215,0.287
0.394,0.241,0.259
0.393,0.269,0.232
0.389,0.297,0.207
0.382,0.327,0.184
0.373,0.359,0.162
0.361,0.391,0.142
0.346,0.424,0.123
0.329,0.457,0.106
0.311,0.491,0.091
0.290,0.524,0.078
0.269,0.558,0.066
0.246,0.591,0.055
0.222,0.624,0.046
0.198,0.656,0.038
0.174,0.686,0.031
0.151,0.716,0.025
0.128,0.743,0.021
0.106,0.769,0.017
0.085,0.793,0.013
0.067,0.814,0.011
0.050,0.833,0.009
0.035,0.850,0.007
0.022,0.863,0.006
0.013,0.874,0.005
0.005,0.882,0.004
0.001,0.887,0.004
0.000,0.889,0.003
0.001,0.887,0.003
0.005,0.883,0.003
0.013,0.875,0.004
0.023,0.865,0.004
0.035,0.852,0.005
0.050,0.835,0.006
0.067,0.817,0.008
0.085,0.796,0.010
0.106,0.772,0.013
0.128,0.747,0.017
0.150,0.720,0.021
0.174,0.691,0.027
0.198,0.660,0.033
0.221,0.629,0.041
0.245,0.597,0.050
0.267,0.564,0.060
0.289,0.530,0.072
0.309,0.497,0.085
0.327,0.463,0.100
0.343,0.430,0.117
0.358,0.398,0.135
0.370,0.366,0.155
0.379,0.335,0.176
0.385,0.305,0.200
0.389,0.276,0.225
0.390,0.249,0.251
0.388,0.223,0.279
0.383,0.199,0.308
0.375,0.176,0.338
